,Dataset,Model,Uncalibrated,TS,ETS,MIR,BTS,PTS,LTS,HTS,HnLTS,LTS_torch,HTS_torch,HnLTS_torch
10,cars,resnet-18,0.20754262364746073,0.19446724976486027,0.1945526399647286,0.1964211588698238,0.19919161735101154,0.2320646343822098,0.20804356940184393,0.19742377315704154,0.1942206408744015,0.20076500443858328,0.20839158539776817,0.19819786131055958
11,cars,resnet-50,0.16020230451221654,0.15409529821615606,0.15328673545301377,0.15372905778049964,0.15691867808308324,0.17796278979529773,0.16746834858065546,0.15632662558625088,0.1532726692049949,0.15626955431011474,0.16940921703314274,0.15714568951892197
12,cifar10,resnet-101,0.11016876923060591,0.10109647530544269,0.10102679267814074,0.10169753137024229,0.10190187527167341,0.10134862514691913,0.10031899736581054,0.10045835852997764,0.10107437621572822,0.10111916319680914,0.1002905208621829,0.10038438721970783
13,cifar100,resnet-101,0.40532736408476416,0.3817227874902473,0.3816241008525568,0.38424900507905724,0.3824696405212197,0.38064194071686724,0.38216305237695525,0.38091080652907905,0.38169801784026514,0.3851311326061068,0.38206778771204697,0.38110950213177375
14,cars,resnet-101,0.16173965101896895,0.15364986094246072,0.15303980185759133,0.15445291646943388,0.15710876631771153,0.1913566648189909,0.16668029266343107,0.1563150210222943,0.15295012554815712,0.15717194077838548,0.16764044414564197,0.1569839770725038
15,birds,resnet-101,0.33775147715023923,0.30522881357830345,0.3056409748612299,0.31026041293986756,0.3115447836728333,0.33982828837403545,0.3397337232330572,0.31026156914830205,0.30533337843730046,0.318240033227055,0.34263832210053663,0.31290386490628547
16,cifar10,resnext-29_8x16,0.08281578256137942,0.07830719559614181,0.07823329943952193,0.07848698573755962,0.07908617025791834,0.07931798832759672,0.07822732352225287,0.07837470688102353,0.07830270538100526,0.07843226543343415,0.07822300569192292,0.0783970068445349
17,cifar100,resnext-29_8x16,0.32748385765642823,0.3095584887632775,0.3092941601782661,0.3116204918340989,0.3096463253758557,0.3094057170588108,0.3094333807450166,0.30954534339652995,0.30900085080428824,0.3114741938946476,0.3088494838186758,0.3105530386538891
18,cifar10,vgg-19,0.11009447913294192,0.10185891387052602,0.1006860158484957,0.09982127263098325,0.10033536603385773,0.10070459443899665,0.10105863342003353,0.1011576711172206,0.10040621468229577,0.1007319051957014,0.0998730319196306,0.10024696765301007
19,cifar100,vgg-19,0.44328269849283336,0.391810838805377,0.3910213322830077,0.388874434534803,0.3880223019537547,0.3886056621789539,0.38652611524327374,0.38909043508609104,0.38950139793936606,0.39867555628433865,0.38630795486993563,0.392842015961123
20,cifar10,wide-resnet-28x10,0.06288677822177262,0.060798190530372685,0.060940793007429626,0.06113554296488201,0.061111383379644835,0.061378256404117766,0.06100337015253334,0.06064301795732283,0.060694895856398805,0.060745256720628506,0.0609738557851887,0.060583050442872856
21,cifar100,wide-resnet-28x10,0.28922478171479876,0.2886094301266442,0.2879468104332939,0.28541710382107033,0.28713178204209755,0.2860186674751328,0.2856694939406231,0.28544716207183485,0.28718526539764977,0.2875276427607664,0.28432344028693146,0.28389338967059813
22,svhn,wide-resnet-28x10,0.05414446498769967,0.05281543788390763,0.0531070111763013,0.05294627476588053,0.05308506034125245,0.05269083464630213,0.05258661176355347,0.05262838385441575,0.05278637206072019,0.05278460029951554,0.052653494277511925,0.05261406861364576
23,cifar10,wide-resnet-40x10,0.08195803435716123,0.07677665168618453,0.0764491702137942,0.07685202984734014,0.07703630635584943,0.07887971922882044,0.076702763964227,0.07676611391628346,0.07661838356657459,0.07681276137506172,0.07659020625430873,0.07673311489409829
24,cifar100,wide-resnet-40x10,0.3700231757560461,0.3276327935518578,0.32699223465248106,0.3300697088149583,0.32931431082794116,0.32406412037939497,0.3245444957740223,0.3247896300506811,0.3285895527719238,0.3346412728416438,0.3242428413158339,0.3263701582258349
25,svhn,wide-resnet-40x10,0.04930641832566099,0.04819226435525099,0.048666062322448814,0.048223448177875494,0.048211233046249004,0.048276962297406925,0.04814186359478704,0.04812157478326909,0.04809432682813073,0.048122013961754154,0.048017146942708935,0.04799125521157718
